Date,State_Code,Sex,Race,Hispanic,Age_Group,Disability_Status,Education_Group,Veteran_Status,Employment_Status,Labor_Force_Status,Number_of_Persons
2023-07-01,49,Female,Native Hawaiian and Other Pacific Islander,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,9916.0
2023-07-01,49,Female,White,Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2725.0
2023-07-01,49,Female,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,12136.0
2023-07-01,49,Female,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,7966.0
2023-07-01,49,Female,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,16137.0
2023-07-01,49,Male,Black or African American,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2916.0
2023-07-01,49,Male,White,Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2369.0
2023-07-01,49,Male,White,Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,3274.0
2023-07-01,49,Male,White,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2290.0
2023-07-01,49,Male,White,Non-Hispanic,21-30,Disabled,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,4477.0
2023-07-01,49,Male,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2832.0
2023-07-01,49,Male,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2340.0
2023-07-01,49,Male,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,4438.0
2023-07-01,49,Male,White,Non-Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2379.0
2023-07-01,49,Female,White,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Unemployed,In Civilian Labor Force,2279.0
2023-07-01,49,Female,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,2079.0
2023-07-01,49,Female,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Unemployed,In Civilian Labor Force,2331.0
2023-07-01,49,Male,Asian,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Unemployed,In Civilian Labor Force,4585.0
2023-07-01,49,Male,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,4159.0
2023-07-01,49,Male,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Unemployed,In Civilian Labor Force,2072.0
2023-07-01,5,Female,American Indian or Alaskan Native,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,2078.0
2023-07-01,5,Female,Black or African American,Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,2335.0
2023-07-01,5,Female,Black or African American,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,6187.0
2023-07-01,5,Female,Black or African American,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,2031.0
2023-07-01,5,Female,Black or African American,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,6427.0
2023-07-01,5,Female,Native Hawaiian and Other Pacific Islander,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,2378.0
2023-07-01,5,Female,White,Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,1435.0
2023-07-01,5,Female,White,Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,5015.0
2023-07-01,5,Female,White,Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,3791.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,Disabled,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,1535.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,Disabled,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,1592.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,Disabled,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,1651.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,25925.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,No Disability,Doctorate Degree,Non-Veteran,Employed,In Civilian Labor Force,5982.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,34576.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,33719.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,5235.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,5598.0
2023-07-01,5,Male,"American Indian, Alaskan Native",Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,2164.0
2023-07-01,5,Male,Black or African American,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,6484.0
2023-07-01,5,Male,Black or African American,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,2925.0
2023-07-01,5,Male,Black or African American,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,16690.0
2023-07-01,5,Male,White,Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,6098.0
2023-07-01,5,Male,White,Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,3960.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,Disabled,Bachelors degree,Veteran,Employed,In Civilian Labor Force,1595.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Employed,In Civilian Labor Force,1425.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,Disabled,Less than Bachelors,Veteran,Employed,In Civilian Labor Force,1679.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,Disabled,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,2218.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,18927.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Veteran,Employed,In Civilian Labor Force,1869.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,Doctorate Degree,Non-Veteran,Employed,In Civilian Labor Force,3198.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,42795.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,High School,Veteran,Employed,In Civilian Labor Force,1598.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,30253.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,8086.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,7129.0
2023-07-01,5,Female,Asian,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1462.0
2023-07-01,5,Female,Black or African American,Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2513.0
2023-07-01,5,Female,Black or African American,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2418.0
2023-07-01,5,Female,Black or African American,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,11343.0
2023-07-01,5,Female,Native Hawaiian and Other Pacific Islander,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2095.0
2023-07-01,5,Female,White,Hispanic,21-30,No Disability,Doctorate Degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1862.0
2023-07-01,5,Female,White,Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1669.0
2023-07-01,5,Female,White,Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1832.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,3085.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,Disabled,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1772.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,13897.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,7005.0
2023-07-01,5,Male,"American Indian, Alaskan Native",Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,3784.0
2023-07-01,5,Male,Black or African American,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2516.0
2023-07-01,5,Male,Black or African American,Non-Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,3634.0
2023-07-01,5,Male,White,Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2203.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,6568.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,Disabled,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2095.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,Disabled,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1837.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2159.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,5013.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,7526.0
2023-07-01,5,Female,Black or African American,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Unemployed,In Civilian Labor Force,1879.0
2023-07-01,5,Female,Black or African American,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Unemployed,In Civilian Labor Force,1830.0
2023-07-01,5,Female,White,Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Unemployed,In Civilian Labor Force,1966.0
2023-07-01,5,Female,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,3381.0
2023-07-01,5,Male,Black or African American,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,3186.0
2023-07-01,5,Male,Black or African American,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Unemployed,In Civilian Labor Force,1998.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,1675.0
2023-07-01,5,Male,White,Non-Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Unemployed,In Civilian Labor Force,1662.0
2023-07-01,50,Female,"American Indian, Alaskan Native",Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,1384.0
2023-07-01,50,Female,Asian,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,1253.0
2023-07-01,50,Female,White,Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,766.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,Disabled,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,1504.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Employed,In Civilian Labor Force,1345.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,Disabled,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,692.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,6701.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,5093.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,3234.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,3300.0
2023-07-01,50,Male,"American Indian, Alaskan Native",Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,1527.0
2023-07-01,50,Male,White,Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,793.0
2023-07-01,50,Male,White,Non-Hispanic,21-30,Disabled,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,568.0
2023-07-01,50,Male,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,9228.0
2023-07-01,50,Male,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Veteran,Employed,In Civilian Labor Force,522.0
2023-07-01,50,Male,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,7624.0
2023-07-01,50,Male,White,Non-Hispanic,21-30,No Disability,High School,Veteran,Employed,In Civilian Labor Force,581.0
2023-07-01,50,Male,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,4078.0
2023-07-01,50,Male,White,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,581.0
2023-07-01,50,Female,Asian,Non-Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1067.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,Disabled,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,721.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2141.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1858.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,575.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,697.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,630.0
2023-07-01,50,Male,"American Indian, Alaskan Native",Non-Hispanic,21-30,Disabled,Masters or Professional Degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,696.0
2023-07-01,50,Male,Asian,Non-Hispanic,21-30,Disabled,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,486.0
2023-07-01,50,Male,Asian,Non-Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,486.0
2023-07-01,50,Male,White,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1551.0
2023-07-01,50,Male,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1478.0
2023-07-01,50,Male,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2834.0
2023-07-01,50,Male,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2020.0
2023-07-01,50,Female,White,Non-Hispanic,21-30,Disabled,Bachelors degree,Non-Veteran,Unemployed,In Civilian Labor Force,628.0
2023-07-01,51,Female,American Indian or Alaskan Native,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,4821.0
2023-07-01,51,Female,"American Indian, Alaskan Native",Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Employed,In Civilian Labor Force,5889.0
2023-07-01,51,Female,Asian,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,7868.0
2023-07-01,51,Female,Asian,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,5001.0
2023-07-01,51,Female,Asian,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,5407.0
2023-07-01,51,Female,Black or African American,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,28980.0
2023-07-01,51,Female,Black or African American,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,19453.0
2023-07-01,51,Female,Black or African American,Non-Hispanic,21-30,No Disability,High School,Veteran,Employed,In Civilian Labor Force,7412.0
2023-07-01,51,Female,Black or African American,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,6325.0
2023-07-01,51,Female,Black or African American,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,7468.0
2023-07-01,51,Female,White,Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,9947.0
2023-07-01,51,Female,White,Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,13461.0
2023-07-01,51,Female,White,Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,11191.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Employed,In Civilian Labor Force,5490.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,86288.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,61115.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,35960.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,3955.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,19460.0
2023-07-01,51,Male,American Indian or Alaskan Native,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,5818.0
2023-07-01,51,Male,Asian,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,20969.0
2023-07-01,51,Male,Asian,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,5742.0
2023-07-01,51,Male,Asian,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,3921.0
2023-07-01,51,Male,Black or African American,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Employed,In Civilian Labor Force,6220.0
2023-07-01,51,Male,Black or African American,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,22413.0
2023-07-01,51,Male,Black or African American,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,48881.0
2023-07-01,51,Male,Black or African American,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,18211.0
2023-07-01,51,Male,Black or African American,Non-Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,11475.0
2023-07-01,51,Male,Black or African American,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,10355.0
2023-07-01,51,Male,White,Hispanic,21-30,Disabled,High School,Veteran,Employed,In Civilian Labor Force,4708.0
2023-07-01,51,Male,White,Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,29341.0
2023-07-01,51,Male,White,Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,3683.0
2023-07-01,51,Male,White,Hispanic,21-30,No Disability,Masters or Professional Degree,Veteran,Employed,In Civilian Labor Force,4713.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Employed,In Civilian Labor Force,4651.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,Disabled,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,4631.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,90242.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,111567.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,74616.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,12327.0
2023-07-01,51,Female,Asian,Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,5893.0
2023-07-01,51,Female,Black or African American,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,12905.0
2023-07-01,51,Female,White,Hispanic,21-30,Disabled,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,4197.0
2023-07-01,51,Female,White,Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,6463.0
2023-07-01,51,Female,White,Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,6592.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,Disabled,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,5783.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,Disabled,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,5783.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,5661.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,13662.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,15086.0
2023-07-01,51,Female,White,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,4406.0
2023-07-01,51,Male,Black or African American,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,28502.0
2023-07-01,51,Male,Black or African American,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,21252.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Not in labor force,Not In Civilian Labor Force,8623.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,8407.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,4604.0
2023-07-01,51,Female,Black or African American,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Unemployed,In Civilian Labor Force,4844.0
2023-07-01,51,Female,Black or African American,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,5615.0
2023-07-01,51,Male,Black or African American,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Unemployed,In Civilian Labor Force,9311.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Unemployed,In Civilian Labor Force,4518.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,5575.0
2023-07-01,51,Male,White,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Unemployed,In Civilian Labor Force,3478.0
2023-07-01,53,Female,American Indian or Alaskan Native,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,4707.0
2023-07-01,53,Female,Asian,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,4534.0
2023-07-01,53,Female,Asian,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,7897.0
2023-07-01,53,Female,Asian,Non-Hispanic,21-30,No Disability,Masters or Professional Degree,Non-Veteran,Employed,In Civilian Labor Force,20706.0
2023-07-01,53,Female,Black or African American,Non-Hispanic,21-30,Disabled,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,3729.0
2023-07-01,53,Female,Black or African American,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,4608.0
2023-07-01,53,Female,Black or African American,Non-Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,9460.0
2023-07-01,53,Female,Black or African American,Non-Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,3723.0
2023-07-01,53,Female,Native Hawaiian and Other Pacific Islander,Non-Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,13284.0
2023-07-01,53,Female,White,Hispanic,21-30,Disabled,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,6089.0
2023-07-01,53,Female,White,Hispanic,21-30,No Disability,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,3424.0
2023-07-01,53,Female,White,Hispanic,21-30,No Disability,Bachelors degree,Veteran,Employed,In Civilian Labor Force,3877.0
2023-07-01,53,Female,White,Hispanic,21-30,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,31745.0
2023-07-01,53,Female,White,Hispanic,21-30,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,19471.0
2023-07-01,53,Female,White,Hispanic,21-30,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,4325.0
2023-07-01,53,Female,White,Non-Hispanic,21-30,Disabled,Bachelors degree,Non-Veteran,Employed,In Civilian Labor Force,10036.0
2023-07-01,53,Female,White,Non-Hispanic,21-30,Disabled,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,16221.0
2023-07-01,53,Female,White,Non-Hispanic,21-30,Disabled,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,3587.0
